school_name,district_name,school_code
Blair Moody Elementary School,Taylor School District,8
Capac Elementary School,Capac Community Schools,11
Central Montcalm Elementary School,Central Montcalm Public Schools,13
Central Montcalm Upper Elementary School,Central Montcalm Public Schools,14
Collins Elementary School,Houghton Lake Community Schools,18
Dryden Elementary School,Dryden Community Schools,22
Holmes STEAM Academy,Ypsilanti Community Schools,31
Lillian Fletcher Elementary,Homer Schools,37
Lincoln Elementary,Hudson Area Schools,38
Mendon Elementary,Mendon Community Schools,40
North Huron Elementary,North Huron School District,41
Pullman Elementary,Bloomingdale Public School District,44
Vanderbilt Area School,Vanderbilt Area Schools,51
Wakefield-Marenisco School,Wakefield-Marenisco School District,52
Washington Elementary,Bay City School District,53
Wolverine Elementary School,Wolverine Community School District,54
